name,content,traffic_information,display_addr,poi_addr
臺北市政府警察局總局,臺北市政府警察局總局,,臺北市中正區延平南路96號,台北市中正區延平南路96號
大同分局,大同分局,,臺北市大同區錦西街200號,台北市大同區錦西街200號
萬華分局,萬華分局,,臺北市萬華區康定路22號,台北市萬華區康定路22號
中山分局,中山分局,,臺北市中山區中山北路二段1號,台北市中山區中山北路二段1號
大安分局,大安分局,,臺北市大安區仁愛路三段2號,台北市大安區仁愛路三段2號
中正第一分局,中正第一分局,,臺北市中正區公園路15號,台北市中正區公園路15號
中正第二分局,中正第二分局,,臺北市中正區南海路35號,台北市中正區南海路35號
松山分局,松山分局,,臺北市松山區南京東路四段12號,台北市松山區南京東路四段12號
信義分局,信義分局,,臺北市信義區信義路五段17號,台北市信義區信義路五段17號
士林分局,士林分局,,臺北市士林區文林路235號?,台北市士林區文林路235號?
北投分局,北投分局,,臺北市北投區中央北路一段1號,台北市北投區中央北路一段1號
文山第一分局,文山第一分局,,臺北市文山區木柵路二段202號,台北市文山區木柵路二段202號
文山第二分局,文山第二分局,,臺北市文山區景中街2號,台北市文山區景中街2號
南港分局,南港分局,,臺北市南港區向陽路150號,台北市南港區向陽路150號
內湖分局,內湖分局,,臺北市內湖區民權東路六段101號,台北市內湖區民權東路六段101號
刑事警察大隊,刑事警察大隊,,臺北市中正區武昌街一段69號,台北市中正區武昌街一段69號
保安警察大隊,保安警察大隊,,臺北市松山區延壽街339號,台北市松山區延壽街339號
交通警察大隊,交通警察大隊,,臺北市中正區愛國西路26號,台北市中正區愛國西路26號
少年警察隊,少年警察隊,,臺北市信義區信義路五段180號,台北市信義區信義路五段180號
婦幼警察隊,婦幼警察隊,,臺北市信義區信義路五段180號,台北市信義區信義路五段180號
捷運警察隊,捷運警察隊,,臺北市大同區華陰街32號地下2樓,台北市大同區華陰街32號地下2樓
通信隊,通信隊,,臺北市中正區延平南路96號10樓,台北市中正區延平南路96號10樓
寧夏路派出所,隸屬大同分局,,臺北市大同區錦西街200號,台北市大同區錦西街200號
民族路派出所,隸屬大同分局,,臺北市大同區重慶北路三段168號,台北市大同區重慶北路三段168號
重慶北路派出所,隸屬大同分局,,臺北市大同區重慶北路三段320-2號,台北市大同區重慶北路三段320-2號
延平派出所,隸屬大同分局,,臺北市大同區延平北路一段86號,台北市大同區延平北路一段86號
民生西路派出所,隸屬大同分局,,臺北市大同區保安街47-1號,台北市大同區保安街47-1號
建成派出所,隸屬大同分局,,臺北市大同區承德路一段80號,台北市大同區承德路一段80號
漢中街派出所,隸屬萬華分局,,臺北市萬華區漢中街122號,台北市萬華區漢中街122號
桂林路派出所,隸屬萬華分局,,臺北市萬華區西園路一段156之1號,台北市萬華區西園路一段156之1號
昆明街派出所,隸屬萬華分局,,臺北市萬華區昆明街245號,台北市萬華區昆明街245號
康定路派出所,隸屬萬華分局,,臺北市萬華區和平西路三段112號,台北市萬華區和平西路三段112號
東園街派出所,隸屬萬華分局,,臺北市萬華區長泰街130號,台北市萬華區長泰街130號
西園路派出所,隸屬萬華分局,,臺北市萬華區東園街17號,台北市萬華區東園街17號
大理街派出所,隸屬萬華分局,,臺北市萬華區大理街99號,台北市萬華區大理街99號
華江派出所,隸屬萬華分局,,臺北市萬華區環河南路二段196號,台北市萬華區環河南路二段196號
莒光派出所,隸屬萬華分局,,臺北市萬華區莒光路171號,台北市萬華區莒光路171號
武昌街派出所,隸屬萬華分局,,臺北市萬華區西寧南路4號,台北市萬華區西寧南路4號
青年路派出所,隸屬萬華分局,,臺北市萬華區萬大路423巷114號,台北市萬華區萬大路423巷114號
中山一派出所,隸屬中山分局,,臺北市中山區中山北路一段110號,台北市中山區中山北路一段110號
中山二派出所,隸屬中山分局,,臺北市中山區中山北路二段90號,台北市中山區中山北路二段90號
圓山派出所,隸屬中山分局,,臺北市中山區中山北路三段62號,台北市中山區中山北路三段62號
長春路派出所,隸屬中山分局,,臺北市中山區長春路206號,台北市中山區長春路206號
長安東路派出所,隸屬中山分局,,臺北市中山區長安東路二段165號,台北市中山區長安東路二段165號
民權一派出所,隸屬中山分局,,臺北市中山區新生北路二段127-1號,台北市中山區新生北路二段127-1號
建國派出所,隸屬中山分局,,臺北市中山區民族東路284號,台北市中山區民族東路284號
大直派出所,隸屬中山分局,,臺北市中山區北安路456號,台北市中山區北安路456號
新生南路派出所,隸屬大安分局,,臺北市大安區仁愛路三段18號,台北市大安區仁愛路三段18號
和平東路派出所,隸屬大安分局,,臺北市大安區和平東路一段143號,台北市大安區和平東路一段143號
安和路派出所,隸屬大安分局,,臺北市大安區信義路四段216號,台北市大安區信義路四段216號
瑞安街派出所,隸屬大安分局,,臺北市大安區瑞安街23巷17號,台北市大安區瑞安街23巷17號
敦化南路派出所,隸屬大安分局,,臺北市大安區復興南路一段219之1號,台北市大安區復興南路一段219之1號
羅斯福路派出所,隸屬大安分局,,臺北市大安區羅斯福路四段113巷13號,台北市大安區羅斯福路四段113巷13號
臥龍街派出所,隸屬大安分局,,臺北市大安區臥龍街185號,台北市大安區臥龍街185號
博愛路派出所,隸屬中正第一分局,,臺北市中正區博愛路119號,台北市中正區博愛路119號
忠孝東路派出所,隸屬中正第一分局,,臺北市中正區忠孝東路二段10號,台北市中正區忠孝東路二段10號
介壽路派出所,隸屬中正第一分局,,臺北市中正區公園路54號,台北市中正區公園路54號
仁愛路派出所,隸屬中正第一分局,,臺北市中正區仁愛路一段19號,台北市中正區仁愛路一段19號
忠孝西路派出所,隸屬中正第一分局,,臺北市中正區公園路15號,台北市中正區公園路15號
廈門街派出所,隸屬中正第二分局,,臺北市中正區廈門街43號,台北市中正區廈門街43號
