"","ARI","ATL","BAL","BOS","CHC","CHW","CIN","CLE","COL","DET","HOU","KCR","LAA","LAD","MIA","MIL","MIN","NYM","NYY","OAK","PHI","PIT","SDP","SEA","SFG","STL","TBR","TEX","TOR","WSN","counting","V32"
"#Bat",49,58,56,44,50,51,53,49,41,49,41,49,60,52,51,53,54,56,49,53,48,48,49,53,48,49,54,50,63,53,-9,-5
"BatAge",29.2,27.3,28.4,27.7,27.2,26.5,27.2,29.4,28.7,27.9,28.2,28.6,29.5,28.1,27.5,28.8,28.2,28.3,27.2,28,26.7,27.8,26.8,29.8,29.8,28,27.1,27.4,28.9,27.6,1.5,-1
"R/G",4.28,4.69,3.84,5.41,4.67,4.05,4.3,5.05,4.79,3.89,4.92,3.94,4.45,4.93,3.66,4.63,4.56,4.17,5.25,5.02,4.18,4.3,3.81,4.18,3.72,4.69,4.42,4.55,4.38,4.76,0.12,5
"G",162,162,162,162,163,162,162,162,163,162,162,162,162,163,161,163,162,162,162,162,162,161,162,162,162,162,162,162,162,162,0,0
"PA",6157,6251,6034,6302,6369,6071,6240,6300,6178,6029,6146,6063,6108,6358,6083,6210,6154,6177,6271,6255,6136,6066,6059,6087,6113,6200,6195,6163,6076,6288,-191,3
"AB",5460,5582,5507,5623,5624,5523,5532,5595,5541,5494,5453,5505,5472,5572,5488,5542,5526,5468,5515,5579,5424,5447,5486,5513,5541,5498,5475,5453,5477,5517,-83,1
"R",693,759,622,876,761,656,696,818,780,630,797,638,721,804,589,754,738,676,851,813,677,692,617,677,603,759,716,737,709,771,19,5
"H",1283,1433,1317,1509,1453,1332,1404,1447,1418,1326,1390,1350,1323,1394,1303,1398,1379,1282,1374,1407,1270,1381,1289,1402,1324,1369,1415,1308,1336,1402,-35,-3
"2B",259,314,242,355,286,259,251,297,280,284,278,283,249,296,222,252,317,265,269,322,241,290,250,256,255,248,274,266,320,284,-6,-1
"3B",50,29,15,31,34,40,25,19,42,35,18,29,23,33,24,24,22,34,23,20,30,38,30,32,30,9,43,24,16,25,8,3
"HR",176,175,188,208,167,182,172,216,210,135,205,155,214,235,128,218,166,170,267,227,186,157,162,176,133,205,150,194,217,191,43,3
"RBI",658,717,593,829,722,639,665,786,748,597,763,606,690,756,554,711,704,649,821,778,653,665,583,644,573,725,664,696,680,737,26,5
"SB",79,90,81,125,66,98,77,135,95,70,71,117,89,75,45,124,47,71,63,35,69,70,95,79,77,63,128,74,47,119,29,3
"CS",25,36,22,31,38,41,33,36,33,30,26,38,22,24,31,32,27,39,21,21,26,38,36,37,34,32,51,35,30,33,-5,-2
"BB",560,511,422,569,576,425,559,554,507,428,565,427,514,647,455,537,534,566,625,550,582,474,471,430,448,525,540,555,499,631,-69,3
"SO",1460,1290,1412,1253,1388,1594,1376,1189,1397,1341,1197,1310,1300,1436,1384,1458,1328,1404,1421,1381,1520,1229,1523,1221,1467,1380,1388,1484,1387,1289,9,3
"BA",0.235,0.257,0.239,0.268,0.258,0.241,0.254,0.259,0.256,0.241,0.255,0.245,0.242,0.25,0.237,0.252,0.25,0.234,0.249,0.252,0.234,0.254,0.235,0.254,0.239,0.249,0.258,0.24,0.244,0.254,-0.002,-3
"OBP",0.31,0.324,0.298,0.339,0.333,0.302,0.328,0.332,0.322,0.3,0.329,0.305,0.313,0.333,0.303,0.323,0.318,0.312,0.329,0.325,0.314,0.317,0.297,0.314,0.3,0.321,0.333,0.318,0.312,0.335,-0.011,5
"SLG",0.397,0.417,0.391,0.453,0.41,0.401,0.401,0.434,0.435,0.38,0.425,0.392,0.413,0.442,0.357,0.424,0.405,0.389,0.451,0.439,0.393,0.407,0.38,0.408,0.368,0.409,0.406,0.404,0.427,0.419,0.025,5
"OPS",0.707,0.742,0.689,0.792,0.744,0.703,0.729,0.766,0.757,0.68,0.754,0.697,0.726,0.774,0.659,0.747,0.723,0.701,0.781,0.764,0.707,0.725,0.677,0.722,0.667,0.73,0.74,0.722,0.739,0.753,0.013,5
"OPS+",84,99,91,112,95,93,94,105,90,85,109,91,100,109,87,99,95,97,108,109,89,98,87,102,84,99,105,88,103,98,-5,5
"TB",2170,2330,2153,2550,2308,2217,2221,2430,2412,2085,2319,2156,2260,2461,1957,2352,2238,2125,2490,2450,2129,2218,2085,2250,2038,2250,2225,2204,2339,2309,104,5
"GDP",110,99,132,130,107,99,128,98,114,110,156,123,111,119,119,128,89,116,107,136,102,121,122,128,113,92,122,104,118,104,7,3
"HBP",52,66,57,55,78,66,65,80,51,52,61,67,73,61,73,58,37,73,62,76,64,59,31,70,49,80,101,88,58,59,-27,-5
"SH",38,49,13,7,40,24,49,25,42,15,14,24,7,39,32,29,19,28,10,6,32,31,35,29,33,46,28,33,5,41,2,-3
"SF",45,43,35,48,46,32,35,44,37,40,45,40,39,39,31,41,38,42,59,44,32,52,36,41,42,48,50,34,37,40,-9,1
"IBB",36,53,19,38,67,18,35,32,38,18,19,13,38,47,26,32,25,36,21,18,33,38,28,17,40,40,17,16,15,56,-29,-1
"LOB",1086,1143,1027,1124,1224,1050,1179,1147,1067,1071,1052,1063,1071,1163,1123,1106,1087,1104,1100,1085,1120,1071,1028,1084,1101,1101,1156,1093,1036,1180,-157,3
