"","ARI","ATL","BAL","BOS","CHC","CHW","CIN","CLE","COL","DET","HOU","KCR","LAA","LAD","MIA","MIL","MIN","NYM","NYY","OAK","PHI","PIT","SDP","SEA","SFG","STL","TBR","TEX","TOR","WSN","counting","V32"
"#Fld",49,57,56,43,50,51,53,48,41,49,41,49,60,52,51,53,54,56,49,53,48,47,49,53,48,49,54,50,63,53,-9,-5
"RA/G",3.98,4.06,5.51,3.99,3.96,5.23,5.06,4,4.57,4.91,3.3,5.14,4.46,3.74,5.02,4.04,4.78,4.36,4.13,4.16,4.49,4.3,4.73,4.39,4.31,4.27,3.99,5.23,5.14,4.21,0.61,-3
"DefEff",0.698,0.709,0.674,0.693,0.7,0.69,0.685,0.688,0.688,0.694,0.705,0.68,0.693,0.698,0.697,0.704,0.682,0.691,0.684,0.717,0.677,0.686,0.68,0.691,0.692,0.685,0.708,0.682,0.678,0.703,-0.012,-3
"G",162,162,162,162,163,162,162,162,163,162,162,162,162,163,161,163,162,162,162,162,162,161,162,162,162,162,162,162,162,162,0,0
"GS",1458,1458,1458,1458,1467,1458,1458,1458,1467,1458,1458,1458,1458,1467,1449,1467,1458,1458,1458,1458,1458,1449,1458,1458,1458,1458,1458,1458,1458,1458,0,0
"CG",1119,1166,1112,1127,933,1156,1084,1064,1140,1205,1014,1234,1083,910,980,959,1137,1136,1155,1116,1092,1136,1092,1099,1111,1031,1101,1149,1116,1078,207,-1
"Inn",13167,13110,12879,13128,13287,12933,12969,13116,13071,12828,13095,12888,12936,13284,12978,13149,12990,13146,13107,13191,13011,12906,13113,13038,13152,13098,13035,12879,12903,13014,-216,1
"Ch",6150,5889,5934,5819,6208,5856,6026,5808,6055,5799,5797,5902,5890,5963,5857,5944,5881,5876,5807,6080,5938,5884,6010,5920,6086,6039,5913,5971,5849,5765,-153,-1
"PO",4389,4370,4293,4376,4429,4311,4323,4372,4357,4276,4365,4296,4312,4428,4326,4383,4330,4382,4369,4397,4337,4302,4371,4346,4384,4366,4345,4293,4301,4338,-72,1
"A",1686,1439,1537,1366,1675,1431,1608,1353,1624,1428,1369,1529,1502,1435,1448,1453,1454,1406,1344,1594,1478,1477,1539,1486,1605,1540,1483,1558,1447,1363,-51,-5
"E",75,80,104,77,104,114,95,83,74,95,63,77,76,100,83,108,97,88,94,89,123,105,100,88,97,133,85,120,101,64,-30,-1
"DP",152,134,159,106,155,134,144,123,162,126,116,142,173,111,133,141,127,121,95,125,138,128,127,152,160,151,135,169,138,115,7,-5
"Fld%",0.988,0.986,0.982,0.987,0.983,0.981,0.984,0.986,0.988,0.984,0.989,0.987,0.987,0.983,0.986,0.982,0.984,0.985,0.984,0.985,0.979,0.982,0.983,0.985,0.984,0.978,0.986,0.98,0.983,0.989,0.005,1
"Rtot",33,33,-48,36,69,-49,-40,-4,29,9,38,-7,30,8,-8,45,-23,-48,-49,39,-58,-14,-21,4,9,-7,59,15,-56,-22,-40,-1
"Rtot/yr",3,3,-4,3,6,-5,-4,0,3,1,4,-1,3,1,-1,4,-2,-4,-5,4,-5,-1,-2,0,1,-1,5,1,-5,-2,-3,-1
"Rdrs",118,52,-108,-42,37,-64,-7,12,-14,-6,20,8,42,32,28,92,-11,-88,4,25,-136,-30,44,-19,19,32,21,-7,-101,-51,-51,-5
"Rdrs/yr",2,5,-10,-4,3,-1,-1,0,-1,-1,2,0,1,3,3,1,-1,-8,0,0,-2,-3,4,0,2,3,0,0,-9,-1,-4,-2
