"","ARI","ATL","BAL","BOS","CHC","CHW","CIN","CLE","COL","DET","HOU","KCR","LAA","LAD","MIA","MIL","MIN","NYM","NYY","OAK","PHI","PIT","SDP","SEA","SFG","STL","TBR","TEX","TOR","WSN","counting","V32"
"P/G",30,35,30,23,35,30,32,27,21,27,22,27,35,31,29,30,34,30,26,34,31,24,30,32,27,30,31,32,36,31,-14,-3
"PAge",29.6,27.7,27.1,28.9,30.2,27.6,27.1,29.4,27.9,28.6,30,27.6,27.5,29.2,27.6,28.8,28.5,28,28.8,29.2,26.8,26.5,27.7,29,28.6,26.7,27.1,30.4,29.3,30.2,-2.3,1
"RA/G",3.98,4.06,5.51,3.99,3.96,5.23,5.06,4,4.57,4.91,3.3,5.14,4.46,3.74,5.02,4.04,4.78,4.36,4.13,4.16,4.49,4.3,4.73,4.39,4.31,4.27,3.99,5.23,5.14,4.21,0.61,-3
"W",82,90,47,108,95,62,67,91,91,64,103,58,80,92,63,96,78,77,100,97,80,82,66,89,73,88,90,67,73,82,-4,5
"L",80,72,115,54,68,100,95,71,72,98,59,104,82,71,98,67,84,85,62,65,82,79,96,73,89,74,72,95,89,80,4,-5
"W-L%",0.506,0.556,0.29,0.667,0.583,0.383,0.414,0.562,0.558,0.395,0.636,0.358,0.494,0.564,0.391,0.589,0.481,0.475,0.617,0.599,0.494,0.509,0.407,0.549,0.451,0.543,0.556,0.414,0.451,0.506,-0.0249999999999999,5
"ERA",3.72,3.75,5.18,3.75,3.65,4.83,4.63,3.77,4.33,4.58,3.11,4.94,4.15,3.38,4.76,3.73,4.5,4.07,3.78,3.81,4.14,4,4.4,4.13,3.95,3.85,3.74,4.92,4.85,4.04,0.68,-3
"G",162,162,162,162,163,162,162,162,163,162,162,162,162,163,161,163,162,162,162,162,162,161,162,162,162,162,162,162,162,162,0,0
"GS",162,162,162,162,163,162,162,162,163,162,162,162,162,163,161,163,162,162,162,162,162,161,162,162,162,162,162,162,162,162,0,0
"GF",160,160,160,160,162,162,161,157,163,162,159,160,161,163,160,163,160,159,160,160,162,158,162,159,161,161,162,161,162,160,1,3
"CG",2,2,2,2,1,0,1,5,0,0,3,2,1,0,1,0,2,3,2,2,0,3,0,3,1,1,0,1,0,2,-1,-3
"tSho",9,11,7,14,18,8,6,17,10,2,12,8,9,11,12,14,7,15,11,14,12,16,5,12,15,8,14,5,3,7,-8,0
"cSho",1,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,1,2,2,0,2,0,1,1,1,0,0,0,1,0,-3
"SV",39,40,28,46,46,34,38,41,51,37,46,33,35,48,30,49,37,41,49,44,44,40,36,60,36,43,52,42,39,40,5,0
"IP",1463,1456.2,1431,1458.2,1476.1,1437,1441,1457.1,1452.1,1425.1,1455,1432,1437.1,1476,1442,1461,1443.1,1460.2,1456.1,1465.2,1445.2,1434,1457,1448.2,1461.1,1455.1,1448.1,1431,1433.2,1446,-24,1
"H",1313,1236,1552,1305,1319,1404,1491,1349,1377,1423,1164,1542,1353,1279,1388,1259,1425,1364,1311,1303,1366,1380,1430,1396,1387,1354,1236,1516,1476,1320,58,3
"R",644,657,892,647,645,848,819,648,745,796,534,833,722,610,809,659,775,707,669,674,728,693,767,711,699,691,646,848,832,682,100,-3
"ER",605,607,824,608,598,771,741,611,699,726,503,786,662,554,762,606,721,661,611,621,665,637,713,664,641,622,602,783,772,649,101,-3
"HR",174,153,234,176,157,196,228,200,184,216,152,205,205,179,192,173,198,185,177,184,171,174,185,195,156,144,164,222,208,198,27,-1
"BB",522,635,589,512,622,653,532,407,525,491,435,549,546,422,605,553,573,484,494,474,500,497,519,400,524,593,501,491,551,487,-97,3
"IBB",43,43,29,8,33,25,60,29,24,20,4,28,17,39,73,34,34,32,9,19,35,43,28,21,37,49,34,23,19,37,-9,-3
"SO",1448,1423,1203,1558,1333,1259,1258,1544,1409,1215,1687,1157,1386,1565,1249,1428,1377,1446,1634,1237,1465,1336,1399,1328,1269,1337,1421,1121,1298,1417,76,3
"HBP",57,52,67,84,66,89,50,59,52,60,66,51,65,61,71,61,80,71,58,53,60,69,68,72,45,67,53,72,67,76,-14,6
"BK",5,8,8,3,3,9,8,2,8,4,4,4,3,10,6,5,0,2,4,2,7,6,4,3,4,4,6,8,5,6,5,1
"WP",69,61,81,51,46,94,48,54,70,54,67,68,87,39,47,50,59,26,73,86,81,95,52,57,44,63,55,57,71,42,24,-3
"BF",6139,6155,6340,6166,6264,6339,6279,6071,6154,6130,5913,6284,6108,6096,6236,6114,6287,6178,6141,6099,6138,6144,6254,6073,6191,6271,5992,6231,6265,6086,-110,-1
"ERA+",117,108,80,117,118,87,91,116,108,95,130,87,101,115,77,110,98,91,116,109,101,97,88,99,99,101,111,99,87,106,-10,5
"FIP",3.91,3.98,4.98,3.82,4.13,4.73,4.66,3.78,4.06,4.58,3.23,4.66,4.36,3.6,4.56,4.01,4.39,3.97,3.63,4.18,3.83,4.06,4.1,4.05,3.98,3.97,3.82,4.79,4.53,4.15,-0.0700000000000003,-3
"WHIP",1.254,1.284,1.496,1.246,1.315,1.431,1.404,1.205,1.31,1.343,1.099,1.46,1.321,1.152,1.382,1.24,1.384,1.265,1.239,1.212,1.291,1.309,1.338,1.24,1.308,1.338,1.199,1.403,1.414,1.25,-0.00499999999999989,-1
"H9",8.1,7.6,9.8,8.1,8,8.8,9.3,8.3,8.5,9,7.2,9.7,8.5,7.8,8.7,7.8,8.9,8.4,8.1,8,8.5,8.7,8.8,8.7,8.5,8.4,7.7,9.5,9.3,8.2,0.5,3
"HR9",1.1,0.9,1.5,1.1,1,1.2,1.4,1.2,1.1,1.4,0.9,1.3,1.3,1.1,1.2,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1,0.9,1,1.4,1.3,1.2,0.1,2
"BB9",3.2,3.9,3.7,3.2,3.8,4.1,3.3,2.5,3.3,3.1,2.7,3.5,3.4,2.6,3.8,3.4,3.6,3,3.1,2.9,3.1,3.1,3.2,2.5,3.2,3.7,3.1,3.1,3.5,3,-0.5,3
"SO9",8.9,8.8,7.6,9.6,8.1,7.9,7.9,9.5,8.7,7.7,10.4,7.3,8.7,9.5,7.8,8.8,8.6,8.9,10.1,7.6,9.1,8.4,8.6,8.3,7.8,8.3,8.8,7.1,8.1,8.8,0.6,5
"SO/W",2.77,2.24,2.04,3.04,2.14,1.93,2.36,3.79,2.68,2.47,3.88,2.11,2.54,3.71,2.06,2.58,2.4,2.99,3.31,2.61,2.93,2.69,2.7,3.32,2.42,2.25,2.84,2.28,2.36,2.91,0.54,1
